"","sample_name","Symbiodinium_reads","Brevolium_reads","Cladocopium_reads","Durisdinium_read","F_reads","G_reads","Symbiodinium_proportion","Brevolium_proportion","Cladocopium_proportion","Durisdinium_proportion","Sequence_count"
"216","109_2018",0,0,0,17966,0,0,0,0,0,1,17966
"217","200_2018",193,0,0,17746,0,0,0.0107586822007916,0,0,0.989241317799208,17939
"218","605_2016b",0,0,0,17924,0,0,0,0,0,1,17924
"219","29_2018",456,0,0,17444,0,0,0.0254748603351955,0,0,0.974525139664804,17900
"220","696_2015b",0,0,17898,0,0,0,0,0,1,0,17898
"221","2_2019",1588,0,0,16277,0,0,0.0888888888888889,0,0,0.911111111111111,17865
"222","31_2018",475,0,0,17307,0,0,0.0267124058036216,0,0,0.973287594196378,17782
"223","192_2015c",0,0,17770,0,0,0,0,0,1,0,17770
"224","172_2018",0,0,0,17761,0,0,0,0,0,1,17761
"225","94_2018",0,0,0,17709,0,0,0,0,0,1,17709
"226","84_2018",0,0,0,17696,0,0,0,0,0,1,17696
"227","656_2015c",0,0,17239,408,0,0,0,0,0.976879922933076,0.0231200770669236,17647
"228","788_2016b",0,0,257,17384,0,0,0,0,0.0145683351283941,0.985431664871606,17641
"229","1005_2016b",0,0,664,16966,0,0,0,0,0.0376630743051617,0.962336925694838,17630
"230","23_2018",0,0,0,17615,0,0,0,0,0,1,17615
"231","925_2016b",879,0,0,16683,0,0,0.050051247010591,0,0,0.949948752989409,17562
"232","612_2015a",0,0,17557,0,0,0,0,0,1,0,17557
"233","108_2019",1176,0,0,16369,0,0,0.0670276432031918,0,0,0.932972356796808,17545
"234","379_2015c",0,0,17115,428,0,0,0,0,0.975602804537422,0.0243971954625777,17543
"235","231_2014",0,0,17512,0,0,0,0,0,1,0,17512
"236","439_2014",0,0,516,16973,0,0,0,0,0.0295042598204586,0.970495740179541,17489
"237","800_2015b",0,0,17474,0,0,0,0,0,1,0,17474
"238","306_2019",0,0,0,17395,0,0,0,0,0,1,17395
"239","237_2019",0,0,0,17263,0,0,0,0,0,1,17263
"240","1033_2016b",0,0,0,17237,0,0,0,0,0,1,17237
"241","127_2018",375,0,0,16842,0,0,0.0217807980484405,0,0,0.97821920195156,17217
"242","486_2015b",0,0,1255,15899,0,0,0,0,0.0731607788270957,0.926839221172904,17154
"243","110_2018",0,0,0,17144,0,0,0,0,0,1,17144
