SampleID	coral_tag	SampleType	field_season	Coral_Species	site	Status	ref	Year_Pre_Post	colony_width1	colony_width2	colony_area	binary_tissue_loss	binary_disease	cyanobacteria_contact	binary_algal_contact	turf_contact	binary_macroalgae_contact	type_of_macroalgae	binary_CCA_contact	sediment_contact	binary_coral_contact	binary_bleaching	bleaching_proportion	notes_bleaching
77	KI15cFSYM399	373	coral	KI2015c	Favites_pentagona	25	UK	2015July.tag.373	2015July	28.989	19.899	361.889	n	n	n	y	y	y	Halimeda, Peysson_red	y	n	y	n	NONE	
78	KI14FSYM379	379	coral	KI2014	Platygyra_sp	25	UK	2014.tag.379	2014	13.947	11.191	108.839	n	n	n	y	y	y	Halimeda	y	y	n	y	1	a few patches <5cm where where the ridges are bleaching (Platygyra)
79	KI15cFSYM404	379	coral	KI2015c	Platygyra_sp	25	UK	2015July.tag.379	2015July	18.846	14.525	218.027	n	n	n	y	y	y	Caulerpa, Peysson_red	y	n	y	y	2	Top very bleached
80	KI14FSYM386	386	coral	KI2014	Favites_pentagona	30	alive	2014.tag.386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	KI15aFSYM145	386	coral	KI2015a	Favites_pentagona	30	alive	2015Jan_Post.tag.386	2015Jan_Post	15.304	12.043	107.631	n	n	n	y	y	n	NONE	n	y	n	n	NONE	
82	KI15bFSYM057	386	coral	KI2015b	Favites_pentagona	30	alive	2015May.tag.386	2015May	18.375	17.04	212.55	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
83	KI15cFSYM336	386	coral	KI2015c	Favites_pentagona	30	alive	2015July.tag.386	2015July	16.32	17.939	208.167	n	n	n	n	n	n	NONE	y	y	y	n	NONE	
84	KI16aFSYM082	386	coral	KI2016a	Favites_pentagona	30	alive	2016March.tag.386	2016March	23.537	14.853	171.17	n	n	n	y	y	n	NONE	n	y	n	y	2	patches bleaching -  one patch seems over 5 cm
85	KI14FSYM389	389	coral	KI2014	Platygyra_sp	30	UK	2014.tag.389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
86	KI15bFSYM131	389	coral	KI2015b	Platygyra_sp	30	UK	2015May.tag.389	2015May	14.989	12.397	145.45	n	n	n	y	y	n	NONE	y	y	n	n	NONE	
87	KI14FSYM400	400	coral	KI2014	Favites_pentagona	25	UK	2014.tag.400	2014	42.47	39.1	1138.323	n	n	n	y	y	n	NONE	y	y	y	y	3	extensive bleaching
88	KI15cFSYM411	400	coral	KI2015c	Favites_pentagona	25	UK	2015July.tag.400	2015July	41.918	20.387	567.834	n	n	n	y	y	n	NONE	y	n	n	n	NONE	
89	KI14FSYM402	402	coral	KI2014	Platygyra_sp	25	UK	2014.tag.402	2014	29.981	17.196	301.09	n	n	n	y	y	n	NONE	y	y	y	n	NONE 	
90	KI15cFSYM415	402	coral	KI2015c	Platygyra_sp	25	UK	2015July.tag.402	2015July	31.983	21.843	344.151	n	n	n	y	y	n	NONE	y	y	y	y	2	one large patch (>5cm) and one small patch 
91	KI14FSYM410	410	coral	KI2014	Platygyra_sp	25	UK	2014.tag.410	2014	25.965	23.755	413.118	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
92	KI14FSYM412	412	coral	KI2014	Favites_pentagona	25	UK	2014.tag.412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
93	KI14FSYM435	435	coral	KI2014	Favites_pentagona	30	gone	2014.tag.435	2014	38.207	36.788	850.786	n	n	n	y	y	n	NONE	n	n	n	y	1	a few patches  less than 5cm on the top part of the coral 
