"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season","site","coral_tag","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","Pax-C.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","Pax-C.CT.sd","C.reps","D.reps","PaxC.reps","Pax-C.reps","C.PaxC","D.PaxC","fail","S.H","Tag","field_season","Sample.Num","Pre.Post","S.H"
"59","KI2014.tag311","KI14FSYM311","311","coral","KI2014","Platygyra_sp",34,"alive","KI2014","34","311","","HD","8/3/2016","43.45","34.454","1119.352","n","n","n","y","y","n","NONE","n","y","y","n","NONE","","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","KI2014.tag328","KI14FSYM328","328","coral","KI2014","Platygyra_sp",34,"alive","KI2014","34","328","","NO","23-03-2017","12.38","11.069","106.633","n","n","n","y","y","n","NONE","y","y","n","n","NONE","2.54cm scale used","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","KI2015b.tag328","KI15bFSYM255","328","coral","KI2015b","Platygyra_sp",34,"alive","KI2015b","34","328","","JM","25-05-2016","13.835","11.354","116.7","n","n","n","y","y","n","NONE","y","y","y","y","1","few small bleached spots","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","KI2015c.tag328","KI15cFSYM488","328","coral","KI2015c","Platygyra_sp",34,"alive","KI2015c","34","328","","JL","4/1/2016","17.347","16.209","208.612","n","n","n","y","y","n","NONE","n","y","n","y","3","entire coral is severeley bleached (completely white) except for the edges that contact the ground, which are normal colour","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","KI2016a.tag328","KI16aFSYM116","328","coral","KI2016a","Platygyra_sp",34,"alive","KI2016a","34","328","","JM","16-06-2016","14.025","12.206","76.608","n","n","n","y","y","n","NONE","n","y","n","n","NONE","bleaching?","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","KI2014.tag338","KI14FSYM338","338","coral","KI2014","Platygyra_sp",34,"UK","KI2014","34","338","","JL","18-02-2016","47.589","38.187","1404.439","n","n","n","y","y","y","Halimeda","y","y","y","n","NONE","","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","KI2014.tag351","KI14FSYM351","351","coral","KI2014","Platygyra_sp",34,"UK","KI2014","34","351","","DL","22-02-2016","17.32","14.919","187.783","n","n","n","y","y","y","Halimeda","n","y","y","y","2","","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","KI2014.tag353","KI14FSYM353","353","coral","KI2014","Platygyra_sp",34,"gone","KI2014","34","353","","DL","22-02-2016","17.514","13.932","185.342","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","KI2015b.tag353","KI15bFSYM263","353","coral","KI2015b","Platygyra_sp",34,"gone","KI2015b","34","353","","JM","27-05-2016","13.763","12.476","124.129","n","n","n","y","y","n","NONE","y","n","n","n","NONE","","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","KI2015c.tag353","KI15cFSYM496","353","coral","KI2015c","Platygyra_sp",34,"gone","KI2015c","34","353","","JL","16-12-2015","17.616","15.801","217.646","n","n","n","y","y","n","NONE","y","y","n","y","2","entire coral is bleaching but not completely white, a few patches of severe bleaching","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","KI2014.tag371","KI14FSYM371","371","coral","KI2014","Platygyra_sp",25,"UK","KI2014","25","371","","HD","19-01-2016","17.583","16.304","217.764","n","y","n","y","y","y","Halimeda, Caulerpa","y","y","y","y","2","Much of coral slightly bleached, a few whiter and larger patches","","KI2014","KI14FQ248","KIPlaty_plate6_data.txt",27.2707,NA,24.3596,NA,0.639365951548876,NA,0.0931966737603858,NA,2,0,2,0,0.0321160789959572,0,FALSE,0.0321160789959572,"371","KI2014",248,NA,0.0321160789959572
"77","KI2014.tag379","KI14FSYM379","379","coral","KI2014","Platygyra_sp",25,"UK","KI2014","25","379","","JL","20-01-2016","13.947","11.191","108.839","n","n","n","y","y","y","Halimeda","y","y","n","y","1","a few patches <5cm where where the ridges are bleaching (Platygyra)","","KI2014","KI14FQ254","KIPlaty_plate5_data.txt",22.83915,34.21365,17.25315,NA,0.421647773621538,0.381766951162619,0.049709606717414,NA,2,2,2,0,0.00502918234255982,9.47112788436692e-06,FALSE,0.00503865347044419,"379","KI2014",254,NA,0.00503865347044419
