"","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","ref","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","C.reps","D.reps","PaxC.reps","C.PaxC","D.PaxC","fail","S.H","Sample.Num","Pre.Post","dom","S.H.log","C.PaxC.log","D.PaxC.log","CtoD","S.H.log10","C.PaxC.log10","D.PaxC.log10","bleaching2Plus"
"194","KI15cFSYM474","762","coral","KI2015c","Platygyra_sp","32","dead","KI2015c.tag762","during","JL","12/11/2015","13.594","13.039","143.675","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","two main patches <5cm ","","KI2015c","KI15cFMD474","KIPlaty_plate8_data.txt",32.4535,24.4474,18.0514,NA,0.177766644790298,0.311126983722082,1,2,2,0,0.014342771842196,FALSE,0.014342771842196,474,NA,"D",-4.24450916805476,-16.6111407886174,-4.24450490972585,3.9135638058881,-1.84336691007394,-7.21412678261458,-1.8433650607052,"FALSE"
"196","KI15cFSYM472","766","coral","KI2015c","Platygyra_sp","32","dead","KI2015c.tag766","during","JL","12/11/2015","23.427","21.575","384.659","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","one prominent spot <5cm, a few lighter areas ","","KI2015c","KI15cFMD472","KIPlaty_plate8_data.txt",34.0917,23.75495,17.1498,5.47951186877079,0.568018877327154,0.0643467170879766,2,2,2,1.91880505674027e-06,0.0124071680992707,FALSE,0.0124090869043275,472,NA,"D",-4.38932625988373,-13.1324736005357,-4.38947597821293,2.99180896893353,-1.90626017394054,-5.70336081845281,-1.90632519578476,"FALSE"
"197","KI15bFSYM245","768","coral","KI2015b","Platygyra_sp","32","dead","KI2015b.tag768","before","HD","27-05-2016","13.079","12.948","122.799","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","a few small spots","","KI2015b","KI15bFMD245","KIPlaty_plate11_data.txt",36.7365,23.8925,18.9477,NA,0.0261629509039041,0.717571961548109,1,2,2,0,0.0392182146908478,FALSE,0.0392182146908478,245,NA,"D",-3.23861397962616,-16.6111407886174,-3.23861242228035,5.12909191428387,-1.40651218036637,-7.21412678261458,-1.40651150401968,"FALSE"
"198","KI15cFSYM460","768","coral","KI2015c","Platygyra_sp","32","dead","KI2015c.tag768","during","JL","13-11-2015","16.501","14.93","204.927","n","n","n","n","n","n","NONE","n","y","n","y","FALSE","several patches <5cm","","KI2015c","KI15cFMD460","KIPlaty_plate9_data.txt",33.6225,24.22715,17.51665,5.09088598183066,0.0140714249456147,0.40057599154218,2,2,2,3.42536599656312e-06,0.0115334478512024,FALSE,0.0115368732171989,460,NA,"D",-4.4622070063321,-12.5666287208786,-4.46249866076845,2.8160520990979,-1.93791187996006,-5.45761750960448,-1.93803854387239,"FALSE"
"207","KI16aFSYM118","783","coral","KI2016a","Platygyra_sp","34","alive","KI2016a.tag783","after","JM","16-06-2016","20.63","16.079","226.487","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","small patches starting to bleach","","KI2016a","KI16aFMD118","KIPlaty_plate11_data.txt",34.921,23.2371,18.35905,NA,1.37602979618902,0.0973686037693893,1,2,2,0,0.0410753782916079,FALSE,0.0410753782916079,118,NA,"D",-3.19234640532378,-16.6111407886174,-3.19234491839105,5.20342920745215,-1.3864184281558,-7.21412678261458,-1.38641778238912,"FALSE"
"212","KI15cFSYM253","788","coral","KI2015c","Platygyra_sp","5","alive","KI2015c.tag788","during","JL","25-11-2015","33.819","27.862","858.226","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","widespread but not completely bleached; DC edited 2 to 1","","KI2015c","KI15cFMD253","KIPlaty_plate5_data.txt",24.7097,NA,17.7467,0.208455079093793,NA,0.245083210359259,2,0,2,0.00193632867989136,0,FALSE,0.00193632867989136,253,NA,"C",-6.24696153186634,-6.24692999000705,-16.6111407886174,0.376068692060432,-2.71302092195144,-2.713007223496,-7.21412678261458,"FALSE"
"213","KI16aFSYM088","788","coral","KI2016a","Platygyra_sp","5","alive","KI2016a.tag788","after","HD","3/6/2016","34.442","34.224","883.711","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","most of coral bleached or starting to bleach; DC edited 3 to 1","","KI2016a","KI16aFMD088","KIPlaty_plate3_data.txt",37.52735,22.6848,17.91785,0.274569563134737,0.0557200143575007,0.370736085376107,2,2,2,3.01997423574653e-07,0.0443635206795624,FALSE,0.044363822676986,88,NA,"D",-3.11533094625002,-14.8286597352573,-3.11533637683948,4.75989040718007,-1.35297103925882,-6.4400050970432,-1.35297339773385,"FALSE"
"214","KI15bFSYM288","792","coral","KI2015b","Platygyra_sp","5","alive","KI2015b.tag792","before","HD","5/8/2016","18.074","17.316","246.693","n","n","n","n","n","n","NONE","y","y","y","y","FALSE","some small areas","","KI2015b","KI15bFMD288","KIPlaty_plate0_data.txt",24.58215,33.90305,18.6919,0.111369318036883,1.15138197180605,0.00820243866176493,2,2,2,0.00407294931751299,3.18426001675792e-05,FALSE,0.00410479191768057,288,NA,"C",-5.49560022733072,-5.50337289842052,-10.3527893028527,0.531583589449082,-2.38670885347599,-2.39008448163994,-4.49615926653596,"FALSE"
"215","KI15cFSYM254","792","coral","KI2015c","Platygyra_sp","5","alive","KI2015c.tag792","during","JL","25-11-2015","33.266","29.339","824.397","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","large proportion of coral bleached but not severe; DC edited 2 to 1","","KI2015c","KI15cFMD254","KIPlaty_plate0_data.txt",24.43635,26.98525,17.60305,0.0314662517628009,0.0692257538781624,0.199899087041436,2,2,2,0.00211847170836276,0.00181007811234684,FALSE,0.0039285498207096,254,NA,"C",-5.53948492356306,-6.15703151257121,-6.31435153681748,0.97508532375352,-2.40576773488969,-2.67396481081411,-2.74228802923715,"FALSE"
"216","KI16aFSYM089","792","coral","KI2016a","Platygyra_sp","5","alive","KI2016a.tag792","after","JM","8/6/2016","32.789","31.958","760.42","n","n","n","y","y","y","Halimeda","y","y","n","y","FALSE","small bleached patches","","KI2016a","KI16aFMD089","KIPlaty_plate0_data.txt",28.7593,23.46305,17.5615,NA,0.0671044335346027,0.110591500577577,1,2,2,0,0.020205861475205,FALSE,0.020205861475205,89,NA,"D",-3.90178254462689,-16.6111407886174,-3.90177952192589,4.25732430427496,-1.69452262871789,-7.21412678261458,-1.69452131597552,"FALSE"
"219","KI16aFSYM091","797","coral","KI2016a","Platygyra_sp","5","alive","KI2016a.tag797","after","HD","3/6/2016","29.133","28.132","626.296","n","n","n","y","y","n","NONE","n","y","y","y","3","coral bleached and overgrown with turf in centre","","KI2016a","KI16aFMD091","KIPlaty_plate11_data.txt",NA,23.57015,18.09955,NA,0.00021213203435547,0.435082802464084,0,2,2,0,0.0272399463518602,FALSE,0.0272399463518602,91,NA,"D",-3.60307076716458,-16.6111407886174,-3.60306852500519,4.61027612251519,-1.56479375208649,-7.21412678261458,-1.56479277832904,"3"
"222","KI15bFSYM303","807","coral","KI2015b","Platygyra_sp","5","alive","KI2015b.tag807","before","JM","3/6/2016","51.946","34.705","1375.952","n","n","n","y","y","y","Halimeda","y","y","n","n","FALSE","","","KI2015b","KI15bFMD303","KIPlaty_plate11_data.txt",24.8713,37.2792,18.58395,0.164897301372703,0.781635835923607,0.405950003079195,2,2,2,0.00309292931325642,2.84570525430361e-06,FALSE,0.00309577501851073,303,NA,"C",-5.77771699433482,-5.77861689242066,-12.7484640598478,0.453279459022896,-2.50923060863826,-2.50962142941121,-5.53658759393384,"FALSE"
"223","KI15cFSYM273","807","coral","KI2015c","Platygyra_sp","5","alive","KI2015c.tag807","during","JL","27-11-2015","70.995","55.266","2960.407","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","portions of coral are lighter, a few small bleached spots; DC edited 2 to 1","","KI2015c","KI15cFMD273","KIPlaty_plate4_data.txt",25.2737,33.3562,18.38955,0.0946108873227581,0.416768736831349,0.00473761543395139,2,2,2,0.00204510350581207,3.77233590807877e-05,FALSE,0.00208282686489286,273,NA,"C",-6.17402923830814,-6.19227701244111,-10.1836133006966,0.608062858397967,-2.68134682930656,-2.68927173691953,-4.42268706232908,"FALSE"
"227","KI15bFSYM309","813","coral","KI2015b","Platygyra_sp","5","alive","KI2015b.tag813","before","JM","3/6/2016","16.361","15.124","196.08","n","n","n","y","y","n","NONE","y","y","n","n","FALSE","","","KI2015b","KI15bFMD309","KIPlaty_plate2_data.txt",24.86135,NA,17.74245,0.486277333421991,NA,0.0473054436613803,2,0,2,0.00173799491605032,0,FALSE,0.00173799491605032,309,NA,"C",-6.35502317731564,-6.35498803607542,-16.6111407886174,0.38257384709123,-2.75995149827545,-2.75993623662874,-7.21412678261458,"FALSE"
"228","KI15cFSYM277","813","coral","KI2015c","Platygyra_sp","5","alive","KI2015c.tag813","during","DC_JMI","17-09-2015","18.269","15.33","222.845","n","n","n","y","y","n","NONE","y","n","n","n","FALSE","","","KI2015c","KI15cFMD277","KIPlaty_plate4_data.txt",24.63405,NA,18.8427,0.00233345237791519,NA,0.225142799129797,2,0,2,0.0043619519024079,0,FALSE,0.0043619519024079,277,NA,"C",-5.43483563776329,-5.43482163578807,-16.6111407886174,0.327179313266204,-2.36031912753174,-2.36031304655117,-7.21412678261458,"FALSE"
"229","KI16aFSYM095","813","coral","KI2016a","Platygyra_sp","5","alive","KI2016a.tag813","after","HD","3/6/2016","18.179","15.13","22.988","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","most of coral bleached or starting to bleach; DC edited 3 to 1","","KI2016a","KI16aFMD095","KIPlaty_plate4_data.txt",33.11825,24.3322,17.523,4.48256201797588,0.14453262607453,0.43105229381132,2,2,2,4.87992219802031e-06,0.0107707884440345,FALSE,0.0107756683662326,95,NA,"D",-4.53046461556734,-12.2179431079165,-4.53091191252118,2.69657484934813,-1.96755578299883,-5.30618527197599,-1.96775004159766,"FALSE"
"230","KI15bFSYM316","820","coral","KI2015b","Platygyra_sp","5","alive","KI2015b.tag820","before","HD","2/8/2016","29.031","26.736","605.214","n","n","n","y","y","y","Halimeda","y","y","y","y","FALSE","a few small bleached patches","","KI2015b","KI15bFMD316","KIPlaty_plate1_data.txt",24.5794,NA,20.725,0.0927724096916749,NA,0.0158391918985794,2,0,2,0.0167017093856139,0,FALSE,0.0167017093856139,316,NA,"C",-4.0922442063777,-4.09224054949103,-16.6111407886174,0.246355178224435,-1.77723907743039,-1.77723748926469,-7.21412678261458,"FALSE"
"231","KI15cFSYM278","820","coral","KI2015c","Platygyra_sp","5","alive","KI2015c.tag820","during","DC_JMI","17-09-2015","37.164","31.562","924.473","n","n","n","y","y","y","Halimeda, Peysson_red","y","n","y","y","FALSE","Variable, patchy bleaching: some spots completely some just lighter in colour; DC edited  2 to 1","","KI2015c","KI15cFMD278","KIPlaty_plate3_data.txt",23.9593,29.30855,18.03795,1.14834141264695,1.75694821921421,0.778878119476981,2,2,2,0.00398608883280832,0.000488913774446708,FALSE,0.00447500260725503,278,NA,"C",-5.40924834462867,-5.52492944897291,-7.62319949963464,0.724752047908192,-2.34920670731653,-2.39944637259371,-3.31071347713896,"FALSE"
"232","KI16aFSYM096","820","coral","KI2016a","Platygyra_sp","5","alive","KI2016a.tag820","after","HD","3/6/2016","41.762","37.858","1181.053","n","n","n","y","y","y","Halimeda","n","y","y","y","FALSE","a few small spots","","KI2016a","KI16aFMD096","KIPlaty_plate4_data.txt",32.5903,24.90725,17.6699,3.26145931754483,0.512440284325893,0.0786302740679442,2,2,2,7.79045800024188e-06,0.00800500307483792,FALSE,0.00801279353283816,96,NA,"D",-4.82671582304279,-11.7548015840927,-4.82768091867326,2.43487541577688,-2.0962160476626,-5.10504546383906,-2.09663518336942,"FALSE"
"233","KI15bFSYM320","824","coral","KI2015b","Platygyra_sp","5","alive","KI2015b.tag824","before","NO","16-10-2017","21.941","21.114","334.346","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","four spots of bleaching, 2.54cm scale used","","KI2015b","KI15bFMD320","KIPlaty_plate11_data.txt",23.74215,36.17455,16.71295,0.14559328624631,0.235678690169477,0.202020407384996,2,2,2,0.00184948533624625,1.67299860401728e-06,FALSE,0.00185115833485027,320,NA,"C",-6.29194370888151,-6.29281485232361,-13.2650364429298,0.474391071550932,-2.73255643321312,-2.73293476600297,-5.76093212940993,"FALSE"
"234","KI15cFSYM283","824","coral","KI2015c","Platygyra_sp","5","alive","KI2015c.tag824","during","HD","21-09-2015","15.91","15.052","190.021","n","n","n","y","y","n","NONE","n","n","y","y","FALSE","A few lighter spots, algae growing in sampled area","","KI2015c","KI15cFMD283","KIPlaty_plate11_data.txt",27.9916,NA,19.0508,0.184979133958399,NA,0.236597928985018,2,0,2,0.000491588769376146,0,FALSE,0.000491588769376146,283,NA,"C",-7.6178680255778,-7.61774379048545,-16.6111407886174,0.458592452344116,-3.30839804737566,-3.30834409276059,-7.21412678261458,"FALSE"
"239","KI15bFSYM346","850","coral","KI2015b","Platygyra_sp","34","alive","KI2015b.tag850","before","JM","27-05-2016","15.29","14.812","174.219","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","one side tops of ridges are bleaching ","","KI2015b","KI15bFMD346","KIPlaty_plate4_data.txt",25.1327,37.25965,17.5484,0.523966124859231,0.715521351882665,0.515339422128756,2,2,2,0.0012587779933797,1.40715986654934e-06,FALSE,0.00126018515324625,346,NA,"C",-6.67649662179357,-6.67756535595848,-13.4314487166389,0.497158980898784,-2.89956564129065,-2.90002978664109,-5.83320406160279,"FALSE"
"240","KI15cFSYM506","850","coral","KI2015c","Platygyra_sp","34","alive","KI2015c.tag850","during","JL","16-12-2015","16.807","15.759","213.15","n","n","n","y","y","y","Caulerpa","n","y","n","y","3","one large, completely bleached patch, rest of coral is lighter in colour; DC edited 2 to 3","","KI2015c","KI15cFMD506","KIPlaty_plate5_data.txt",29.9988,26.666,19.68815,0.438123361623184,0.0824486506863502,0.45247762928127,2,2,2,0.000190211168298455,0.00958249909585288,FALSE,0.00977271026415134,506,NA,"D",-4.62816144462673,-8.56705464470161,-4.6478104813426,1.8432452612024,-2.00998497675877,-3.72062455835753,-2.01851844497919,"3"
"241","KI16aFSYM120","850","coral","KI2016a","Platygyra_sp","34","alive","KI2016a.tag850","after","JM","16-06-2016","14.08","13.499","148.162","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","small patches starting to bleach, some near algal colonies; used 5 point scale","","KI2016a","KI16aFMD120","KIPlaty_plate4_data.txt",35.08125,25.3689,18.4459,0.507631958213823,0.0391737156777339,0.286519667736787,2,2,2,2.37307573966905e-06,0.00995383144373499,FALSE,0.00995620451947466,120,NA,"D",-4.60955935235405,-12.9259120716503,-4.6097915962628,2.80401224257717,-2.00190619073289,-5.61365228628434,-2.00200705298092,"FALSE"
"244","KI15bFSYM353","857","coral","KI2015b","Platygyra_sp","34","alive","KI2015b.tag857","before","JM","2/6/2016","25.307","23.841","445.9","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","a few small bleached patches","","KI2015b","KI15bFMD353","KIPlaty_plate11_data.txt",24.2278,NA,18.2115,0.396121218820703,NA,0.148492424049176,2,0,2,0.00373219369570244,0,FALSE,0.00373219369570244,353,NA,"C",-5.59075909603024,-5.59074273142668,-16.6111407886174,0.336565850748653,-2.42803582505635,-2.42802871799932,-7.21412678261458,"FALSE"
"245","KI15cFSYM504","857","coral","KI2015c","Platygyra_sp","34","alive","KI2015c.tag857","during","JL","16-12-2015","31.555","30.172","680.516","n","n","n","y","y","n","NONE","y","y","n","y","3","over 80% of coral is completely, severely bleached ","","KI2015c","KI15cFMD504","KIPlaty_plate8_data.txt",31.5331,34.3435,17.66455,0.652235294966471,2.57683853200002,0.191130962954726,2,2,2,1.61510734246451e-05,1.15121567943416e-05,FALSE,2.76632302189866e-05,504,NA,"C",-10.4954064555026,-11.0297496095021,-11.3668156120325,0.970346488054791,-4.55809710895657,-4.79015939218132,-4.93654529711745,"3"
"249","KI16aFSYM024","906","coral","KI2016a","Platygyra_sp","8","alive","KI2016a.tag906","after","HD","5/8/2016","34.148","31.906","707.208","n","n","n","y","y","n","NONE","n","y","y","n","FALSE","paling in a few areas","","KI2016a","KI16aFMD024","KIPlaty_plate1_data.txt",32.6213,24.5838,20.09575,3.91468456200497,0.284115504680756,0.0325976226126992,2,2,2,4.09717652434007e-05,0.0538249047743101,FALSE,0.0538658765395535,24,NA,"D",-2.92125808987219,-10.1011377969402,-2.92201787018282,3.45690486701516,-1.26868626864673,-4.38686840615552,-1.26901623704309,"FALSE"
"250","KI16aFSYM027","909","coral","KI2016a","Platygyra_sp","8","alive","KI2016a.tag909","after","HD","5/8/2016","17.874","14.61","197.765","n","n","n","y","y","n","NONE","n","y","y","y","FALSE","some areas starting to bleach","","KI2016a","KI16aFMD027","KIPlaty_plate2_data.txt",NA,23.8486,19.48825,NA,0.0306884343034975,0.0178898015640207,0,2,2,0,0.0588064280221542,FALSE,0.0588064280221542,27,NA,"D",-2.8335041099479,-16.6111407886174,-2.8335030713482,5.86240437026021,-1.23057519940056,-7.21412678261458,-1.23057474834244,"FALSE"
"252","KI16aFSYM033","914","coral","KI2016a","Platygyra_sp","8","alive","KI2016a.tag914","after","HD","5/8/2016","11.852","9.784","82.018","n","n","n","y","y","y","Halimeda","n","y","y","n","FALSE","","","KI2016a","KI16aFMD033","KIPlaty_plate11_data.txt",NA,23.8585,17.7627,NA,0.159806132548159,0.444911586722576,0,2,2,0,0.0176604715169156,FALSE,0.0176604715169156,33,NA,"D",-4.03642638445066,-16.6111407886174,-4.03642292609088,4.1153122685052,-1.75299770537561,-7.21412678261458,-1.75299620342905,"FALSE"
"253","KI16aFSYM038","919","coral","KI2016a","Platygyra_sp","8","alive","KI2016a.tag919","after","HD","5/8/2016","15.532","15.532","175.602","n","n","n","y","y","y","Halimeda","n","y","y","y","FALSE","a few small areas ","","KI2016a","KI16aFMD038","KIPlaty_plate1_data.txt",35.79695,25.25395,19.8087,1.00048538470084,0.214324065377643,0.0981464212286927,2,2,2,3.71627727521639e-06,0.0277228170085866,FALSE,0.0277265332858618,38,NA,"D",-3.58536544390746,-12.486486887371,-3.58549728303145,3.48249793591086,-1.55710442789561,-5.42281235354254,-1.55716168489966,"FALSE"
"254","KI16aFSYM054","925","coral","KI2016a","Platygyra_sp","35","alive","KI2016a.tag925","after","HD","12/7/2016","30.586","28.875","692.604","n","n","n","y","y","n","NONE","n","y","y","y","FALSE","much of coral starting to bleach; DC edited 3 to NONE","","KI2016a","KI16aFMD054","KIPlaty_plate1_data.txt",33.34925,24.94295,20.62515,4.56218224153749,0.392373552880415,0.139087903859394,2,2,2,3.57038599280223e-05,0.060566660297055,FALSE,0.060602364156983,54,NA,"D",-2.80342137417637,-10.2385425775317,-2.80400968899991,3.65139343765372,-1.21751043325443,-4.44654254415351,-1.21776593513591,"FALSE"
"255","KI16aFSYM057","928","coral","KI2016a","Platygyra_sp","35","alive","KI2016a.tag928","after","HD","12/7/2016","40.635","29.205","953.444","n","n","n","y","y","n","NONE","n","y","y","y","FALSE","large patches starting to bleach, measurements not accurate as image cut off","","KI2016a","KI16aFMD057","KIPlaty_plate2_data.txt",NA,24.0205,19.15245,NA,0.0838628642487225,0.426456099733608,0,2,2,0,0.0413610801414139,FALSE,0.0413610801414139,57,NA,"D",-3.18541493351818,-16.6111407886174,-3.18541345685644,5.21475187243365,-1.38340812819916,-7.21412678261458,-1.38340748689311,"FALSE"
"257","KI16aFSYM062","933","coral","KI2016a","Platygyra_sp","35","alive","KI2016a.tag933","after","HD","2/8/2016","19.4","18.076","267.529","n","n","n","y","n","n","NONE","n","y","n","n","FALSE","","","KI2016a","KI16aFMD062","KIPlaty_plate1_data.txt",NA,23.4191,17.62605,NA,0.0142835569799701,0.0607404725039236,0,2,2,0,0.0217840751129853,FALSE,0.0217840751129853,62,NA,"D",-3.82657607553614,-16.6111407886174,-3.82657327182361,4.3409963977251,-1.66186087418834,-7.21412678261458,-1.66185965655146,"FALSE"
"268","KI16aFSYM212","1020","coral","KI2016a","Platygyra_sp","37","alive","KI2016a.tag1020","after","JM","20-06-2016","29.415","26.859","569.436","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","small patches starting to bleach","","KI2016a","KI16aFMD206","KIPlaty_plate13_data.txt",37.4359,24.563,17.77325,NA,0.356381817718021,0.226486302014051,1,2,2,0,0.0109169803634326,FALSE,0.0109169803634326,206,NA,"D",-4.51743587040024,-16.6111407886174,-4.51743027579467,3.67712167637061,-1.96189747086664,-7.21412678261458,-1.96189504116031,"FALSE"
"269","KI16aFSYM214","1022","coral","KI2016a","Platygyra_sp","37","alive","KI2016a.tag1022","after","JM","20-06-2016","15.489","15.193","169.875","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","small patches starting to bleach","","KI2016a","KI16aFMD208","KIPlaty_plate4_data.txt",35.7403,24.9037,17.7853,NA,0.0960251008851329,0.0746704760932987,1,2,2,0,0.0086929868178922,FALSE,0.0086929868178922,208,NA,"D",-4.74523869129126,-16.6111407886174,-4.74523166537983,3.50059637968967,-2.0608309789416,-7.21412678261458,-2.06082792762704,"FALSE"
"270","KI16aFSYM215","1023","coral","KI2016a","Platygyra_sp","37","alive","KI2016a.tag1023","after","JM","20-06-2016","20.376","16.961","239.14","n","n","n","y","y","n","NONE","y","y","y","n","FALSE","","","KI2016a","KI16aFMD209","KIPlaty_plate4_data.txt",37.3731,23.558,17.74285,NA,0.0400222438151608,0.00586898628384723,1,2,2,0,0.0214529175138296,FALSE,0.0214529175138296,209,NA,"D",-3.84189462822651,-16.6111407886174,-3.84189178123458,4.32368784299268,-1.66851363709252,-7.21412678261458,-1.66851240065963,"FALSE"
"271","KI16aFSYM231","1024","coral","KI2016a","Platygyra_sp","37","alive","KI2016a.tag1024","after","JM","20-06-2016","22.456","10.614","164.933","n","n","n","y","y","n","NONE","n","y","y","n","FALSE","","","KI2016a","KI16aFMD225","KIPlaty_plate10_data.txt",NA,22.97365,17.98515,NA,0.022980970388562,0.212909851815271,0,2,2,0,0.0380480854961258,FALSE,0.0380480854961258,225,NA,"D",-3.26890451141663,-16.6111407886174,-3.26890290617631,5.08156444696846,-1.41966719117689,-7.21412678261458,-1.41966649402988,"FALSE"
"272","KI16aFSYM235","1028","coral","KI2016a","Platygyra_sp","37","alive","KI2016a.tag1028","after","JM","20-06-2016","25.916","21.431","419.751","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","small patches starting to bleach","","KI2016a","KI16aFMD229","KIPlaty_plate9_data.txt",33.0213,23.9628,17.8523,5.14957584466915,0.345068109219035,0.541078108963946,2,2,2,6.55732839026808e-06,0.0174814379770512,FALSE,0.0174879953054415,229,NA,"D",-4.04624061599255,-11.9256561898231,-4.0466121542269,2.94707170722209,-1.75725997197838,-5.17924667631555,-1.75742132898337,"FALSE"
"273","KI16aFSYM237","1030","coral","KI2016a","Platygyra_sp","37","alive","KI2016a.tag1030","after","JM","20-06-2016","27.278","26.429","506.901","n","n","n","y","y","n","NONE","y","y","n","n","FALSE","","","KI2016a","KI16aFMD231","KIPlaty_plate9_data.txt",33.58515,23.4581,18.53005,4.85478302759248,0.376039386235006,0.381059844381429,2,2,2,7.09601051118144e-06,0.039676200116195,FALSE,0.0396832961267061,231,NA,"D",-3.22682493230607,-11.847407519952,-3.22700222498252,3.67133540480163,-1.40139226216836,-5.14526371077423,-1.40146925939942,"FALSE"
"274","KI16aFSYM238","1031","coral","KI2016a","Platygyra_sp","37","alive","KI2016a.tag1031","after","JM","20-06-2016","21.735","20.503","331.353","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","small bleached patches seen","","KI2016a","KI16aFMD232","KIPlaty_plate9_data.txt",NA,22.70115,17.565,NA,0.447527881812968,0.226274169979695,0,2,2,0,0.0343467564032173,FALSE,0.0343467564032173,232,NA,"D",-3.37124769262631,-16.6111407886174,-3.37124591439971,4.92730023569795,-1.46411427003667,-7.21412678261458,-1.46411349776268,"FALSE"
"279","KI16aFSYM261","1036","coral","KI2016a","Platygyra_sp","40","alive","KI2016a.tag1036","after","JM","23-06-2016","20.556","17.106","275.323","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","small patches starting to bleach","","KI2016a","KI16aFMD255","KIPlaty_plate9_data.txt",38.762,23.88135,20.51965,NA,0.0492853426487031,0.205555941290928,1,2,2,0,0.117502851444253,FALSE,0.117502851444253,255,NA,"D",-2.14129267808171,-16.6111407886174,-2.14129215829557,7.7575312291059,-0.929951594230724,-7.21412678261458,-0.929951368490469,"FALSE"
"282","KI16aFSYM265","1049","coral","KI2016a","Platygyra_sp","40","alive","KI2016a.tag1049","after","JM","23-06-2016","22.714","19.618","314.902","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","many small bleached patches","","KI2016a","KI16aFMD259","KIPlaty_plate8_data.txt",32.6255,23.82055,17.70465,4.51473537651987,0.522764043331215,0.0146371103705626,2,2,2,7.7880284088769e-06,0.0174161273509595,FALSE,0.0174239153793684,259,NA,"D",-4.04991156935932,-11.7551110735805,-4.05035513590025,2.9022420699334,-1.75885424676889,-5.10517987341583,-1.75904688526997,"FALSE"
"284","KI16aFSYM272","1055","coral","KI2016a","Platygyra_sp","40","alive","KI2016a.tag1055","after","JM","23-06-2016","18.85","17.213","235.31","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","small bleached patches seen","","KI2016a","KI16aFMD266","KIPlaty_plate8_data.txt",37.583,22.69405,18.01405,NA,2.17527259096418,0.284751900783822,1,2,2,0,0.0471194879697641,FALSE,0.0471194879697641,266,NA,"D",-3.05506860621389,-16.6111407886174,-3.05506731001282,5.43724216293869,-1.32679943751455,-7.21412678261458,-1.32679887458158,"FALSE"
"286","KI15cFSYM428","410_893","coral","KI2015c","Platygyra_sp","25","UK","KI2015c.tag410_893","during","JL","3/11/2015","26.859","25.882","473.508","n","n","n","y","y","n","NONE","y","y","y","y","2","Bleaching overa large poriton of the coral, ~70% bleached ","","KI2015c","KI15cFMD428","KIPlaty_plate9_data.txt",26.46125,25.00595,17.77755,0.10458109293749,0.0217081781824267,0.35418978669634,2,2,2,0.000587484975755056,0.00805481780762928,FALSE,0.00864230278338433,428,NA,"D",-4.75108620582321,-7.43955592842219,-4.82147729859296,1.54300341320559,-2.06337052223568,-3.23095808752438,-2.09394098540072,"2"
"291","KI16aFSYM017","754_899_1060","coral","KI2016a","Platygyra_sp","32","alive","KI2016a.tag754_899_1060","after","JM","21-06-2016","14.721","9.695","58.545","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","one bleached patch","","KI2016a","KI16aFMD017","KIPlaty_plate0_data.txt",39.39545,23.57935,17.4801,0.0740340799902323,0.0874691088327781,0.330360288170354,2,2,2,6.10763707027196e-08,0.0176182894673679,FALSE,0.0176183505437386,17,NA,"D",-4.03881427558371,-15.9179936023047,-4.03881427558375,3.94125416920885,-1.75403475331809,-6.91309678445219,-1.7540347533181,"FALSE"
"293","KI16bFMD158","62","coral","KI2016b","Platygyra_sp","8","alive","KI2016b.tag62","recovery1","NO","12/1/2017","22.245","16.587","298.793","n","n","n","y","y","n","NONE","y","y","n","n","FALSE","7cm scale used","","KI2016b","KI16bFMD158","KIPlaty_plate8_data.txt",28.8537,23.3569,18.0498,NA,0.0674579869251952,0.0654780879378749,1,2,2,0,0.0305087667225687,FALSE,0.0305087667225687,158,NA,"D",-3.48974120314303,-16.6111407886174,-3.48973920121652,4.75999489670368,-1.51557534779543,-7.21412678261458,-1.5155744783698,"FALSE"
