SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Year_Pre_Post
KI16aFSYM113	KI16aFSYM113.fasta	857	coral	2016March	113	Platygyra_sp	34	alive	2016March
KI16aFSYM018	KI16aFSYM018.fasta	900	coral	2016March	18	Platygyra_sp	32	alive	2016March
KI16aFSYM020	KI16aFSYM020.fasta	902	coral	2016March	20	Favites_pentagona	32	alive	2016March
KI16aFSYM024	KI16aFSYM024.fasta	906	coral	2016March	24	Platygyra_sp	8	alive	2016March
KI16aFSYM027	KI16aFSYM027.fasta	909	coral	2016March	27	Platygyra_sp	8	alive	2016March
KI16aFSYM029	KI16aFSYM029.fasta	911	coral	2016March	29	Favites_pentagona	8	alive	2016March
KI16aFSYM033	KI16aFSYM033.fasta	914	coral	2016March	33	Platygyra_sp	8	alive	2016March
KI16aFSYM038	KI16aFSYM038.fasta	919	coral	2016March	38	Platygyra_sp	8	alive	2016March
KI16aFSYM054	KI16aFSYM054.fasta	925	coral	2016March	54	Platygyra_sp	35	alive	2016March
KI16aFSYM057	KI16aFSYM057.fasta	928	coral	2016March	57	Platygyra_sp	35	alive	2016March
KI16aFSYM058	KI16aFSYM058.fasta	929	coral	2016March	58	Favites_pentagona	35	alive	2016March
KI16aFSYM062	KI16aFSYM062.fasta	933	coral	2016March	62	Platygyra_sp	35	alive	2016March
KI16aFSYM069	KI16aFSYM069.fasta	936	coral	2016March	69	Platygyra_sp	27	alive	2016March
KI16aFSYM070	KI16aFSYM070.fasta	937	coral	2016March	70	Favites_pentagona	27	alive	2016March
KI16aFSYM072	KI16aFSYM072.fasta	939	coral	2016March	72	Platygyra_sp	27	alive	2016March
KI16aFSYM074	KI16aFSYM074.fasta	941	coral	2016March	74	Platygyra_sp	27	alive	2016March
KI16aFSYM217	KI16aFSYM217.fasta	1005	coral	2016March	217	Platygyra_sp	37	alive	2016March
KI16aFSYM220	KI16aFSYM220.fasta	1008	coral	2016March	220	Platygyra_sp	37	alive	2016March
