"Field.Season","Site","Quadrat","adj.total.points.quadrat","Cover","Bleached","Substrate","Species","Fish.Level","Field.Season.Cat","adj.total.points.site"
"KI2015b","site8","Q8.8",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015c","site35","Q14.5",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","EarlyEN",2860
"KI2015c","site35","Q15.8",100,3,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","EarlyEN",2860
"KI2015c","site35","Q14.5",100,1,"Healthy","HARD.CORAL","Platygyra.spp","Medium","EarlyEN",2860
"KI2015c","site35","Q17.4",97,4,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","EarlyEN",2860
"KI2015c","site35","Q19.1",99,7,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","EarlyEN",2860
"KI2015c","site35","Q13.1",98,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","EarlyEN",2860
"KI2015c","site35","Q54.5",94,3,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","EarlyEN",2860
"KI2015c","site35","Q55.8",96,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","EarlyEN",2860
"KI2015c","site35","Q11.6",99,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","EarlyEN",2860
"KI2015c","site35","Q24.8",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","EarlyEN",2860
