"coral_tag","SampleType","Coral_Species","site","Dist","Status","sample_name.KI2014","sample_name.KI2015a","sample_name.KI2015b","sample_name.KI2015c","sample_name.KI2016a","dom.KI2014","dom.KI2015a","dom.KI2015b","dom.KI2015c","dom.KI2016a","have_before","have_duringafter","dom_before","dom_during","dom_after"
"820","coral","Platygyra_sp","5","VeryLow","alive",NA,NA,"KI15bFSYM316","KI15cFSYM278","KI16aFSYM096",NA,NA,"C","C","D","Yes","Yes","C","C","D"
"824","coral","Platygyra_sp","5","VeryLow","alive",NA,NA,"KI15bFSYM320","KI15cFSYM283","KI16aFSYM101",NA,NA,"C","C","D","Yes","Yes","C","C","D"
"844","coral","Favites_pentagona","34","Medium","alive",NA,NA,"KI15bFSYM340","KI15cFSYM519","KI16aFSYM123",NA,NA,"C","C","D","Yes","Yes","C","C","D"
"850","coral","Platygyra_sp","34","Medium","alive",NA,NA,"KI15bFSYM346","KI15cFSYM506","KI16aFSYM120",NA,NA,"C","D","D","Yes","Yes","C","D","D"
"856","coral","Favites_pentagona","34","Medium","dead",NA,NA,"KI15bFSYM352","KI15cFSYM503",NA,NA,NA,"C","C",NA,"Yes","Yes","C","C","NA"
"857","coral","Platygyra_sp","34","Medium","alive",NA,NA,"KI15bFSYM353","KI15cFSYM504","KI16aFSYM113",NA,NA,"C","C","D","Yes","Yes","C","C","D"
"902","coral","Favites_pentagona","32","VeryHigh","alive",NA,NA,NA,NA,"KI16aFSYM020",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"906","coral","Platygyra_sp","8","Medium","alive",NA,NA,NA,NA,"KI16aFSYM024",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"909","coral","Platygyra_sp","8","Medium","alive",NA,NA,NA,NA,"KI16aFSYM027",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"911","coral","Favites_pentagona","8","Medium","alive",NA,NA,NA,NA,"KI16aFSYM029",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"914","coral","Platygyra_sp","8","Medium","alive",NA,NA,NA,NA,"KI16aFSYM033",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"919","coral","Platygyra_sp","8","Medium","alive",NA,NA,NA,NA,"KI16aFSYM038",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"925","coral","Platygyra_sp","35","Medium","alive",NA,NA,NA,NA,"KI16aFSYM054",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"928","coral","Platygyra_sp","35","Medium","alive",NA,NA,NA,NA,"KI16aFSYM057",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"929","coral","Favites_pentagona","35","Medium","alive",NA,NA,NA,NA,"KI16aFSYM058",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"933","coral","Platygyra_sp","35","Medium","alive",NA,NA,NA,NA,"KI16aFSYM062",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"937","coral","Favites_pentagona","27","VeryHigh","alive",NA,NA,NA,NA,"KI16aFSYM070",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1009","coral","Favites_pentagona","37","VeryLow","alive",NA,NA,NA,NA,"KI16aFSYM221",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1020","coral","Platygyra_sp","37","VeryLow","alive",NA,NA,NA,NA,"KI16aFSYM212",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1022","coral","Platygyra_sp","37","VeryLow","alive",NA,NA,NA,NA,"KI16aFSYM214",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1023","coral","Platygyra_sp","37","VeryLow","alive",NA,NA,NA,NA,"KI16aFSYM215",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1024","coral","Platygyra_sp","37","VeryLow","alive",NA,NA,NA,NA,"KI16aFSYM231",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1028","coral","Platygyra_sp","37","VeryLow","alive",NA,NA,NA,NA,"KI16aFSYM235",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1030","coral","Platygyra_sp","37","VeryLow","alive",NA,NA,NA,NA,"KI16aFSYM237",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1031","coral","Platygyra_sp","37","VeryLow","alive",NA,NA,NA,NA,"KI16aFSYM238",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1032","coral","Favites_pentagona","37","VeryLow","alive",NA,NA,NA,NA,"KI16aFSYM239",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1033","coral","Favites_pentagona","40","High","alive",NA,NA,NA,NA,"KI16aFSYM256",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1034","coral","Favites_pentagona","40","High","alive",NA,NA,NA,NA,"KI16aFSYM259",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1036","coral","Platygyra_sp","40","High","alive",NA,NA,NA,NA,"KI16aFSYM261",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1037","coral","Favites_pentagona","40","High","alive",NA,NA,NA,NA,"KI16aFSYM262",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1049","coral","Platygyra_sp","40","High","alive",NA,NA,NA,NA,"KI16aFSYM265",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1050","coral","Favites_pentagona","40","High","alive",NA,NA,NA,NA,"KI16aFSYM266",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"1055","coral","Platygyra_sp","40","High","alive",NA,NA,NA,NA,"KI16aFSYM272",NA,NA,NA,NA,"D",NA,"Yes","NA","NA","D"
"497_745","coral","Favites_pentagona","32","VeryHigh","alive","KI14FSYM497",NA,"KI15bFSYM194",NA,"KI16aFSYM006","D",NA,"D",NA,"D","Yes","Yes","D","NA","D"
