#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site
KI15aFSYM123	KI15aFSYM123_MERGED-MAX-MISMATCH-3	127	coral	2015Jan	123	Favia_sp	30
KI15aFSYM139	KI15aFSYM139_MERGED-MAX-MISMATCH-3	146	coral	2015Jan	139	Favia_matthai	30
KI15aFSYM145	KI15aFSYM145_MERGED-MAX-MISMATCH-3	386	coral	2015Jan	145	Favites_pentagona	30
KI15aFSYM150	KI15aFSYM150_MERGED-MAX-MISMATCH-3	470	coral	2015Jan	150	Platygyra_sp	27
KI15aFSYM156	KI15aFSYM156_MERGED-MAX-MISMATCH-3	466	coral	2015Jan	156	Platygyra_sp	27
KI15aFSYM160	KI15aFSYM160_MERGED-MAX-MISMATCH-3	455	coral	2015Jan	160	Platygyra_sp	27
KI15aFSYM163	KI15aFSYM163_MERGED-MAX-MISMATCH-3	271	coral	2015Jan	163	Favites_pentagona	27
KI15bFSYM002	KI15bFSYM002_MERGED-MAX-MISMATCH-3	4	coral	2015May	2	Favites_pentagona	35
KI15bFSYM015	KI15bFSYM015_MERGED-MAX-MISMATCH-3	575	coral	2015May	15	Favia_sp	35
KI15bFSYM019	KI15bFSYM019_MERGED-MAX-MISMATCH-3	89	coral	2015May	19	Favia_matthai	35
KI15bFSYM020	KI15bFSYM020_MERGED-MAX-MISMATCH-3	637	coral	2015May	20	Platygyra_sp	35
KI15bFSYM023	KI15bFSYM023_MERGED-MAX-MISMATCH-3	99	coral	2015May	23	Platygyra_sp	35
KI15bFSYM026	KI15bFSYM026_MERGED-MAX-MISMATCH-3	100_638	coral	2015May	26	Favia_matthai	35
KI15bFSYM038	KI15bFSYM038_MERGED-MAX-MISMATCH-3	127	coral	2015May	38	Favia_sp	30
KI15bFSYM050	KI15bFSYM050_MERGED-MAX-MISMATCH-3	146	coral	2015May	50	Favia_matthai	30
KI15bFSYM057	KI15bFSYM057_MERGED-MAX-MISMATCH-3	386	coral	2015May	57	Favites_pentagona	30
KI15bFSYM065	KI15bFSYM065_MERGED-MAX-MISMATCH-3	435	coral	2015May	65	Favites_pentagona	30
KI15bFSYM068	KI15bFSYM068_MERGED-MAX-MISMATCH-3	439	coral	2015May	68	Favites_pentagona	30
KI15bFSYM069	KI15bFSYM069_MERGED-MAX-MISMATCH-3	442	coral	2015May	69	Platygyra_sp	30
KI15bFSYM080	KI15bFSYM080_MERGED-MAX-MISMATCH-3	583	coral	2015May	80	Favites_pentagona	15
KI15bFSYM084	KI15bFSYM084_MERGED-MAX-MISMATCH-3	588	coral	2015May	84	Favites_pentagona	15
KI15bFSYM088	KI15bFSYM088_MERGED-MAX-MISMATCH-3	592	coral	2015May	88	Favites_pentagona	15
KI15bFSYM092	KI15bFSYM092_MERGED-MAX-MISMATCH-3	597	coral	2015May	92	Favites_pentagona	15
KI15bFSYM102	KI15bFSYM102_MERGED-MAX-MISMATCH-3	656	coral	2015May	102	Favites_pentagona	19
