Coral Tag # ,Coral Tag # All,Sample Type,Year,Tube Label,Coral Species,Site,Run
328,328,coral,2017,KI17FSYM228,Platygyra sp,34,Run_4
328,328,coral,2017,KI17FQ228,Platygyra sp,34,Run_4
330,330,coral,2014,KI14FSYM330,Favia matthaii,34,Run_5
333,333,coral,2014,KI14FSYM333,Hydnophora microconos,34,Run_5
334,334,coral,2014,KI14FSYM334,Favites pentagona,34,Run_1
338,338,coral,2014,KI14FSYM338,Platygyra sp,34,Run_1
339,339,coral,2014,KI14FSYM339,Favia sp,34,Run_1
339,339,coral,2015 May,KI15bFSYM259,Favia sp,34,Run_1
339,339,coral,2015 July,KI15cFSYM493,Favia sp,34,Run_1
339,339,coral,2015 July,KI15cFSYM507,Favia sp,34,Run_1
339,339,coral,2016 March,KI16aFSYM121,Favia sp,34,Run_1
339,339,coral,2016 Nov,KI16bFSYM183,Favia sp,34,Run_3
340,340,coral,2014,KI14FSYM340,Hydnophora microconos,34,Run_5
341,341,coral,2014,KI14FSYM341,Favites pentagona,34,Run_1
341,341,coral,2015 July,KI15cFSYM494,Favites pentagona,34,Run_1
341,341,coral,2015 July,KI15cFSYM509,Favites pentagona,34,Run_1
344,344,coral,2014,KI14FSYM344,Favia matthaii,34,Run_5
346,346,coral,2014,KI14FSYM346,Hydnophora microconos,34,Run_5
348,348,coral,2014,KI14FSYM348,Favia sp,34,Run_5
348,348,coral,2015 May,KI15bFSYM261,Favia sp,34,Run_2
349,349,coral,2014,KI14FSYM349,Hydnophora microconos,34,Run_5
349,349,coral,2015 May,KI15bFSYM262,Hydnophora microconos,34,Run_2
351,351,coral,2014,KI14FSYM351,Platygyra sp,34,Run_1
352,352,coral,2014,KI14FSYM352,Favites pentagona,34,Run_1
353,353,coral,2014,KI14FSYM353,Platygyra sp,34,Run_1
353,353,coral,2015 May,KI15bFSYM263,Platygyra sp,34,Run_1
353,353,coral,2015 July,KI15cFSYM496,Platygyra sp,34,Run_1
367,367,coral,2014,KI14FSYM367,Favia sp,25,Run_5
370,370,coral,2014,KI14FSYM370,Hydnophora microconos,25,Run_5
370,370_1265,coral,2015 July,KI15cFSYM398,Hydnophora microconos,25,Run_6
371,371,coral,2014,KI14FSYM371,Platygyra sp,25,Run_1
373,373,coral,2014,KI14FSYM373,Favites pentagona,25,Run_1
373,373,coral,2015 July,KI15cFSYM399,Favites pentagona,25,Run_1
376,376,coral,2014,KI14FSYM376,Favites halicora,25,Run_6
376,376,coral,2015 July,KI15cFSYM402,Favites halicora,25,Run_6
379,379,coral,2014,KI14FSYM379,Platygyra sp,25,Run_1
379,379,coral,2015 July,KI15cFSYM404,Platygyra sp,25,Run_1
379,379,coral,2017,KI17FSYM52,Platygyra sp,25,Run_4
381,381,coral,2014,KI14FSYM381,Hydnophora microconos,25,Run_5
381,381,coral,2015 July,KI15cFSYM405,Hydnophora microconos,25,Run_6
382,382,coral,2014,KI14FSYM382,Favia sp,25,Run_6
382,382,coral,2015 July,KI15cFSYM407,Favia sp,25,Run_6
386,386,coral,2014,KI14FSYM386,Favites pentagona,30,Run_1
386,386,coral,2015 Jan,KI15aFSYM145,Favites pentagona,30,Run_1
386,386,coral,2015 May,KI15bFSYM057,Favites pentagona,30,Run_1
386,386,coral,2015 July,KI15cFSYM336,Favites pentagona,30,Run_1
386,386,coral,2016 March,KI16aFSYM082,Favites pentagona,30,Run_1
386,386,coral,2016 Nov,KI16bFSYM124,Favites pentagona,30,Run_3
386,386,coral,2017,KI17FSYM177,Favites pentagona,30,Run_4
388,388,coral,2014,KI14FSYM388,Favia sp,30,Run_1
388,388,coral,2015 May,KI15bFSYM132,Favia sp,30,Run_1
388,388,coral,2015 July,KI15cFSYM338,Favia sp,30,Run_1
388,388,coral,2016 March,KI16aFSYM083,Favia sp,30,Run_1
388,388_1168,coral,2016 Nov,KI16bFSYM125,Favia sp,30,Run_3
389,389,coral,2014,KI14FSYM389,Platygyra sp,30,Run_1
389,389,coral,2015 May,KI15bFSYM131,Platygyra sp,30,Run_1
395,395,coral,2015 July,KI15cFSYM409,Favia matthaii,25,Run_6
398,398_894,coral,2014,KI14FSYM398,Hydnophora microconos,25,Run_5
398,398_894,coral,2015 July,KI15cFSYM429,Hydnophora microconos,25,Run_6
400,400,coral,2014,KI14FSYM400,Favites pentagona,25,Run_1
400,400,coral,2015 July,KI15cFSYM411,Favites pentagona,25,Run_1
400,400_1102,coral,2017,KI17FSYM54,Favites pentagona,25,Run_4
400,400_1102,coral,2017,KI17FQ54,Favites pentagona,25,Run_4
402,402,coral,2014,KI14FSYM402,Platygyra sp,25,Run_1
402,402,coral,2015 July,KI15cFSYM415,Platygyra sp,25,Run_1
404,404,coral,2014,KI14FSYM404,Favia matthaii,25,Run_6
404,404,coral,2015 July,KI15cFSYM414,Favia matthaii,25,Run_6
406,406,coral,2014,KI14FSYM406,Hydnophora microconos,25,Run_5
408,408,coral,2014,KI14FSYM408,Favites halicora,25,Run_6
410,410,coral,2014,KI14FSYM410,Platygyra sp,25,Run_1
410,410_893,coral,2015 July,KI15cFSYM428,Platygyra sp,25,Run_1
411,411,coral,2014,KI14FSYM411,Hydnophora microconos,25,Run_5
411,411,coral,2015 July,KI15cFSYM426,Hydnophora microconos,25,Run_6
412,412,coral,2014,KI14FSYM412,Favites pentagona,25,Run_1
412,412_892,coral,2015 July,KI15cFSYM427,Favites pentagona,25,Run_1
415,415,coral,2014,KI14FSYM415,Favia matthaii,25,Run_6
415,415,coral,2017,KI17FSYM56,Favia matthaii,25,Run_4
415,415,coral,2017,KI17FQ56,Favia matthaii,25,Run_4
429,429,coral,2014,KI14FSYM429,Hydnophora microconos,30,Run_5
431,431,coral,2014,KI14FSYM431,Favia sp,30,Run_6
431,431,coral,2015 May,KI15bFSYM061,Favia sp,30,Run_6
431,431,coral,2015 July,KI15cFSYM342,Favia sp,30,Run_6
433,433,coral,2014,KI14FSYM433,Hydnophora microconos,30,Run_5
435,435,coral,2014,KI14FSYM435,Favites pentagona,30,Run_1
435,435,coral,2015 May,KI15bFSYM065,Favites pentagona,30,Run_1
435,435,coral,2015 July,KI15cFSYM345,Favites pentagona,30,Run_1
439,439,coral,2014,KI14FSYM439,Favites pentagona,30,Run_1
439,439,coral,2015 May,KI15bFSYM068,Favites pentagona,30,Run_1
439,439,coral,2015 July,KI15cFSYM350,Favites pentagona,30,Run_1
439,439,coral,2016 March,KI16aFSYM086,Favites pentagona,30,Run_1
439,439,coral,2016 Nov,KI16bFSYM126,Favites pentagona,30,Run_3
442,442,coral,2014,KI14FSYM442,Platygyra sp,30,Run_1
442,442,coral,2015 May,KI15bFSYM069,Platygyra sp,30,Run_1
442,442,coral,2015 July,KI15cFSYM348,Platygyra sp,30,Run_1
444,444,coral,2014,KI14FSYM444,Hydnophora microconos,30,Run_5
447,447,coral,2014,KI14FSYM447,Platygyra sp,27,Run_1
449,449,coral,2014,KI14FSYM449,Favites pentagona,27,Run_1
454,454,coral,2014,KI14FSYM454,Favites pentagona,27,Run_1
455,455,coral,2014,KI14FSYM455,Platygyra sp,27,Run_1
455,455,coral,2015 Jan,KI15aFSYM160,Platygyra sp,27,Run_1
457,457,coral,2014,KI14FSYM457,Hydnophora microconos,27,Run_5
461,461,coral,2014,KI14FSYM461,Platygyra sp,27,Run_1
465,465,coral,2014,KI14FSYM465,Favites halicora,27,Run_6
466,466,coral,2014,KI14FSYM466,Platygyra sp,27,Run_1
466,466,coral,2015 Jan,KI15aFSYM156,Platygyra sp,27,Run_1
466,466,coral,2015 May,KI15bFSYM140,Platygyra sp,27,Run_1
466,466,coral,2015 July,KI15cFSYM064,Platygyra sp,27,Run_1
470,470,coral,2014,KI14FSYM470,Platygyra sp,27,Run_1
470,470,coral,2015 Jan,KI15aFSYM150,Platygyra sp,27,Run_1
470,470,coral,2015 May,KI15bFSYM138,Platygyra sp,27,Run_1
470,470,coral,2015 July,KI15cFSYM072,Platygyra sp,27,Run_1
473,473,coral,2014,KI14FSYM473,Favites pentagona,27,Run_1
478,478,coral,2014,KI14FSYM478,Favia matthaii,32,Run_5
479,479,coral,2014,KI14FSYM479,Platygyra sp,32,Run_1
482,482,coral,2014,KI14FSYM482,Favites pentagona,32,Run_1
482,482,coral,2015 May,KI15bFSYM216,Favites pentagona,32,Run_1
482,482,coral,2015 July,KI15cFSYM432,Favites pentagona,32,Run_1
482,482,coral,2016 March,KI16aFSYM010,Favites pentagona,32,Run_1
482,482_897,coral,2016 Nov,KI16bFSYM017,Favites pentagona,32,Run_3
482,482_897,coral,2017,KI17FSYM205,Favites pentagona,32,Run_4
483,483,coral,2014,KI14FSYM483,Hydnophora microconos,32,Run_5
486,486,coral,2014,KI14FSYM486,Platygyra sp,32,Run_1
486,486,coral,2015 May,KI15bFSYM188,Platygyra sp,32,Run_1
487,487,coral,2014,KI14FSYM487,Favites pentagona,32,Run_1
487,487,coral,2015 May,KI15bFSYM187,Favites pentagona,32,Run_1
487,487,coral,2015 July,KI15cFSYM434,Favites pentagona,32,Run_1
492,492,coral,2014,KI14FSYM492,Favites pentagona,32,Run_1
492,492,coral,2015 May,KI15bFSYM191,Favites pentagona,32,Run_1
492,492,coral,2015 July,KI15cFSYM439,Favites pentagona,32,Run_1
493,493,coral,2014,KI14FSYM493,Favia matthaii,32,Run_5
497,497_745,coral,2014,KI14FSYM497,Favites pentagona,32,Run_1
497,497_745,coral,2015 May,KI15bFSYM194,Favites pentagona,32,Run_1
497,497_745,coral,2016 March,KI16aFSYM006,Favites pentagona,32,Run_1
497,497_745,coral,2016 Nov,KI16bFSYM019,Favites pentagona,32,Run_3
497,497_745,coral,2017,KI17FSYM217,Favites pentagona,32,Run_4
500,500,coral,2014,KI14FSYM500,Favites sp,32,Run_1
500,500,coral,2015 July,KI15cFSYM455,Favites sp,32,Run_1
500,500,coral,2016 March,KI16aFSYM011,Favites sp,32,Run_1
500,500,coral,2016 Nov,KI16bFSYM021,Favites sp,32,Run_3
500,500,coral,2017,KI17FSYM208,Favites sp,32,Run_4
504,504,coral,2014,KI14FSYM504,Platygyra sp,14,Run_1
575,575,coral,2015 Jan,KI15aFSYM014,Favia sp,35,Run_1
575,575,coral,2015 May,KI15bFSYM015,Favia sp,35,Run_1
575,575,coral,2016 March,KI16aFSYM043,Favia sp,35,Run_1
577,577,coral,2015 Jan,KI15aFSYM026,Hydnophora microconos,15,Run_5
577,577,coral,2015 May,KI15bFSYM075,Hydnophora microconos,15,Run_6
577,577,coral,2015 July,KI15cFSYM096,Hydnophora microconos,15,Run_6
577,577,coral,2017,KI17FSYM303,Hydnophora microconos,15,Run_4
577,577,coral,2017,KI17FQ303,Hydnophora microconos,15,Run_4
581,581,coral,2015 Jan,KI15aFSYM30,Favia matthaii,15,Run_6
581,581,coral,2015 May,KI15bFSYM078,Favia matthaii,15,Run_6
