"","Coral_Tag","Coral_Tag_All","SampleType","Coral_Species","Site","Tube_label.2014","Tube_label.2015Jan","Tube_label.2015May","Tube_label.2015July","Tube_label.2016March","Tube_label.2016Nov","Tube_label.2017","status","before","during","after","recovery"
"217","299","299","coral","Platygyra sp",14,"KI14FSYM299",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"218","302","302","coral","Favites halicora",14,"KI14FSYM302",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"219","306","306","coral","Platygyra sp",14,"KI14FSYM306",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"220","308","308","coral","Hydnophora microconos",14,"KI14FSYM308",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"221","311","311","coral","Platygyra sp",34,"KI14FSYM311",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"222","314","314_1088","coral","Platygyra sp",34,NA,NA,NA,NA,NA,"KI16bFSYM178",NA,"alive","No","No","No","Yes"
"223","315","315","coral","Hydnophora microconos",34,"KI14FSYM315",NA,NA,NA,NA,NA,NA,"dead","Yes","No","No","No"
"224","320","320","coral","Hydnophora microconos",34,"KI14FSYM320",NA,NA,NA,NA,NA,NA,"dead","Yes","No","No","No"
"225","323","323","coral","Hydnophora microconos",34,"KI14FSYM323",NA,"KI15bFSYM252","KI15cFSYM486",NA,NA,NA,"alive","Yes","Yes","No","No"
"228","328","328","coral","Platygyra sp",34,"KI14FSYM328",NA,"KI15bFSYM255","KI15cFSYM488","KI16aFSYM116","KI16bFSYM180","KI17FSYM228","alive","Yes","Yes","Yes","Yes"
"235","330","330","coral","Favia matthaii",34,"KI14FSYM330",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"236","333","333","coral","Hydnophora microconos",34,"KI14FSYM333",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"237","334","334","coral","Favites pentagona",34,"KI14FSYM334",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"238","338","338","coral","Platygyra sp",34,"KI14FSYM338",NA,NA,NA,NA,NA,NA,"alive","Yes","No","No","No"
"239","339","339","coral","Favia sp",34,"KI14FSYM339",NA,"KI15bFSYM259","KI15cFSYM493","KI16aFSYM121","KI16bFSYM183",NA,"alive","Yes","Yes","Yes","Yes"
"245","340","340","coral","Hydnophora microconos",34,"KI14FSYM340",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"246","341","341","coral","Favites pentagona",34,"KI14FSYM341",NA,NA,"KI15cFSYM494",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"249","344","344","coral","Favia matthaii",34,"KI14FSYM344",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"250","346","346","coral","Hydnophora microconos",34,"KI14FSYM346",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"251","348","348","coral","Favia sp",34,"KI14FSYM348",NA,"KI15bFSYM261",NA,NA,NA,NA,"gone_after","Yes","No","No","No"
